geo_id,geo_name,tot_pop,white_pct,black_pct,white_tot,black_tot,generic_location_based_premium,location_effect,is_in_detroit
26037010203,Census Tract 102.03,1201.0,0.783,0.007,940.0,8.0,6441.0,0.87,False
26037010204,Census Tract 102.04,2348.0,0.966,0.003,2268.0,7.0,6441.0,0.87,False
26037010300,Census Tract 103,5571.0,0.858,0.017,4782.0,95.0,6441.0,0.87,False
26037010400,Census Tract 104,5057.0,0.901,0.023,4558.0,117.0,6478.0,0.87,False
26037010500,Census Tract 105,3468.0,0.938,0.0,3253.0,0.0,6678.0,0.9,False
26037010600,Census Tract 106,2453.0,0.96,0.001,2354.0,2.0,6738.0,0.91,False
26037010701,Census Tract 107.01,2063.0,0.93,0.001,1919.0,2.0,6738.0,0.91,False
26037010702,Census Tract 107.02,2366.0,0.936,0.026,2215.0,61.0,7066.0,0.95,False
26037010801,Census Tract 108.01,3690.0,0.937,0.002,3457.0,7.0,6738.0,0.91,False
26037010802,Census Tract 108.02,4084.0,0.904,0.018,3692.0,75.0,6738.0,0.91,False
26037010901,Census Tract 109.01,2865.0,0.927,0.023,2657.0,66.0,6705.0,0.9,False
26037010902,Census Tract 109.02,4400.0,0.935,0.002,4115.0,8.0,6447.0,0.87,False
26037011001,Census Tract 110.01,3889.0,0.892,0.004,3469.0,17.0,6738.0,0.91,False
26037011002,Census Tract 110.02,3467.0,0.957,0.0,3319.0,1.0,6441.0,0.87,False
26037011101,Census Tract 111.01,4669.0,0.964,0.005,4500.0,23.0,6441.0,0.87,False
26037011104,Census Tract 111.04,6712.0,0.89,0.022,5976.0,147.0,6441.0,0.87,False
26037011200,Census Tract 112,2688.0,0.699,0.106,1880.0,285.0,6663.0,0.9,False
26039960100,Census Tract 9601,1934.0,0.946,0.0,1829.0,0.0,6969.0,0.94,False
26039960200,Census Tract 9602,3253.0,0.893,0.006,2904.0,18.0,7064.0,0.95,False
26039960300,Census Tract 9603,3865.0,0.961,0.003,3716.0,12.0,7092.0,0.96,False
26039960400,Census Tract 9604,2318.0,0.908,0.0,2105.0,0.0,7083.0,0.95,False
26039960500,Census Tract 9605,1822.0,0.905,0.005,1648.0,10.0,7056.0,0.95,False
26041970100,Census Tract 9701,1736.0,0.804,0.006,1396.0,11.0,6035.0,0.81,False
26041970200,Census Tract 9702,2166.0,0.909,0.0,1969.0,0.0,5922.0,0.8,False
26041970300,Census Tract 9703,2420.0,0.941,0.0,2278.0,0.0,6057.0,0.82,False
26041970400,Census Tract 9704,5438.0,0.944,0.0,5131.0,2.0,6035.0,0.81,False
26041970500,Census Tract 9705,4752.0,0.936,0.007,4449.0,32.0,6035.0,0.81,False
26041970600,Census Tract 9706,4105.0,0.93,0.005,3816.0,21.0,6035.0,0.81,False
26041970700,Census Tract 9707,3374.0,0.913,0.004,3079.0,13.0,5910.0,0.8,False
26041970800,Census Tract 9708,4477.0,0.943,0.001,4220.0,3.0,6035.0,0.81,False
26041970900,Census Tract 9709,2513.0,0.893,0.006,2245.0,14.0,6035.0,0.81,False
26041971000,Census Tract 9710,2569.0,0.894,0.003,2296.0,8.0,6035.0,0.81,False
26041971100,Census Tract 9711,3289.0,0.792,0.0,2606.0,0.0,6035.0,0.81,False
26043950100,Census Tract 9501,1477.0,0.933,0.0,1378.0,0.0,5129.0,0.69,False
26043950200,Census Tract 9502,4491.0,0.982,0.002,4412.0,9.0,5094.0,0.69,False
26043950300,Census Tract 9503,4971.0,0.951,0.008,4726.0,40.0,5129.0,0.69,False
26043950400,Census Tract 9504,3937.0,0.91,0.001,3583.0,5.0,5129.0,0.69,False
26043950600,Census Tract 9506,4412.0,0.892,0.016,3934.0,71.0,5129.0,0.69,False
26043950700,Census Tract 9507,3773.0,0.947,0.0,3574.0,0.0,5129.0,0.69,False
26045020101,Census Tract 201.01,3298.0,0.786,0.052,2593.0,172.0,6441.0,0.87,False
26045020102,Census Tract 201.02,3137.0,0.616,0.189,1931.0,593.0,6441.0,0.87,False
26045020103,Census Tract 201.03,3622.0,0.693,0.173,2511.0,626.0,6441.0,0.87,False
