bg2010ge,white_tot_wt,black_tot_wt,aian_tot_wt,asian_tot_wt,other_tot_wt,latin_tot_wt,tot_pop_wt,white_pct_wt,black_pct_wt,aian_pct_wt,asian_pct_wt,other_pct_wt,latin_pct_wt
260079900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260099601001,502.0,13.0,1.0,2.0,0.0,4.0,522.0,0.962,0.025,0.002,0.004,0.0,0.008
260099601002,667.0,0.0,0.0,0.0,0.0,29.0,696.0,0.958,0.0,0.0,0.0,0.0,0.042
260099601003,1517.0,0.0,10.0,0.0,0.0,13.0,1540.0,0.985,0.0,0.006,0.0,0.0,0.008
260099602001,1429.0,0.0,42.0,7.0,8.0,54.0,1540.0,0.928,0.0,0.027,0.005,0.005,0.035
260099602002,1456.0,0.0,5.0,2.0,1.0,4.0,1468.0,0.992,0.0,0.003,0.001,0.001,0.003
260099603001,781.0,1.0,0.0,0.0,0.0,2.0,784.0,0.996,0.001,0.0,0.0,0.0,0.003
260099603002,722.0,0.0,8.0,0.0,0.0,4.0,734.0,0.984,0.0,0.011,0.0,0.0,0.005
260099603003,1131.0,0.0,0.0,2.0,0.0,19.0,1152.0,0.982,0.0,0.0,0.002,0.0,0.016
260099604001,1059.0,7.0,1.0,21.0,16.0,12.0,1116.0,0.949,0.006,0.001,0.019,0.014,0.011
260099604002,894.0,12.0,0.0,0.0,0.0,20.0,926.0,0.965,0.013,0.0,0.0,0.0,0.022
260099604003,974.0,0.0,0.0,3.0,0.0,17.0,994.0,0.98,0.0,0.0,0.003,0.0,0.017
260099605001,1076.0,3.0,6.0,0.0,0.0,14.0,1099.0,0.979,0.003,0.005,0.0,0.0,0.013
260099605002,1307.0,0.0,2.0,3.0,10.0,80.0,1402.0,0.932,0.0,0.001,0.002,0.007,0.057
260099605003,713.0,0.0,12.0,0.0,71.0,57.0,853.0,0.836,0.0,0.014,0.0,0.083,0.067
260099606001,930.0,0.0,0.0,0.0,0.0,33.0,963.0,0.966,0.0,0.0,0.0,0.0,0.034
260099606002,598.0,0.0,0.0,25.0,0.0,18.0,641.0,0.933,0.0,0.0,0.039,0.0,0.028
260099606003,817.0,0.0,0.0,3.0,0.0,9.0,829.0,0.986,0.0,0.0,0.004,0.0,0.011
260099606004,719.0,1.0,0.0,0.0,0.0,28.0,748.0,0.961,0.001,0.0,0.0,0.0,0.037
