LOCATION ZONE,Bodily Injury,Property Damage,PIP,NON MED,Collision,Comprehensive,UM - Single Car,UM - Multi Car,UIM - Single Car,UIM - Multi Car
N4331250W08324250,434.19,68.93,"3,999.21",413.86,269.89,35.32,19.68,19.68,26.19,26.19
N4331250W08322750,434.21,67.94,"3,990.68",412.98,270.10,33.89,19.68,19.68,26.19,26.19
N4331250W08321250,434.25,65.43,"3,968.91",410.72,270.64,30.24,19.68,19.68,26.19,26.19
N4331250W08319750,434.25,65.28,"3,967.67",410.60,270.67,30.03,19.68,19.68,26.19,26.19
N4331250W08318250,434.25,65.28,"3,967.67",410.60,270.67,30.03,19.68,19.68,26.19,26.19
N4331250W08316750,434.25,65.28,"3,967.67",410.60,270.67,30.03,19.68,19.68,26.19,26.19
N4331250W08315250,434.25,65.28,"3,967.67",410.60,270.67,30.03,19.68,19.68,26.19,26.19
N4331250W08313750,439.33,64.78,"3,919.56",405.62,271.74,33.58,19.68,19.68,26.19,26.19
N4331250W08312250,442.87,64.42,"3,886.10",402.15,272.48,36.06,19.68,19.68,26.19,26.19
N4331250W08310750,443.41,64.37,"3,880.97",401.62,272.59,36.43,19.68,19.68,26.19,26.19
N4331250W08309250,443.41,64.37,"3,880.97",401.62,272.59,36.43,19.68,19.68,26.19,26.19
N4331250W08307750,443.41,64.37,"3,880.97",401.62,272.59,36.43,19.68,19.68,26.19,26.19
N4331250W08306250,443.41,64.37,"3,880.97",401.62,272.59,36.43,19.68,19.68,26.19,26.19
N4331250W08304750,443.41,64.37,"3,880.97",401.62,272.59,36.43,19.68,19.68,26.19,26.19
N4331250W08303250,443.41,64.37,"3,880.97",401.62,272.59,36.43,19.68,19.68,26.19,26.19
N4331250W08301750,443.41,64.37,"3,880.97",401.62,272.59,36.43,19.68,19.68,26.19,26.19
N4331250W08300250,443.41,64.37,"3,880.97",401.62,272.59,36.43,19.68,19.68,26.19,26.19
N4331250W08298750,443.41,64.37,"3,880.97",401.62,272.59,36.43,19.68,19.68,26.19,26.19
N4331250W08297250,443.41,64.37,"3,880.97",401.62,272.59,36.43,19.68,19.68,26.19,26.19
N4331250W08295750,446.31,67.66,"3,892.31",402.80,273.21,34.68,19.68,19.68,26.19,26.19
N4331250W08294250,447.74,69.29,"3,897.93",403.38,273.52,33.82,19.68,19.68,26.19,26.19
N4331250W08292750,447.93,69.50,"3,898.66",403.45,273.56,33.70,19.68,19.68,26.19,26.19
N4331250W08291250,446.71,68.13,"3,893.93",402.96,273.30,34.43,19.68,19.68,26.19,26.19
N4331250W08289750,447.32,68.81,"3,896.30",403.21,273.43,34.07,19.68,19.68,26.19,26.19
